timestamp,DOGE,SHIB,PEPE,WIF,BONK,floki
2023-05-23,0.07309333063200692,8.818522829387424e-06,1.5334968449999868e-06,1.973845868198486e-12,4.0316838359243807e-07,3.103888076982771e-05
2023-05-24,0.07295558369766858,8.917079314771688e-06,1.6070179899669554e-06,1.9380589447921457e-12,4.0373036910873033e-07,3.178136289799704e-05
2023-05-25,0.07084551231660854,8.535012087769656e-06,1.445632159740262e-06,1.882061160304347e-12,3.9393409656160965e-07,3.165616777903673e-05
2023-05-26,0.07092622575777013,8.529615532118925e-06,1.435142215911159e-06,1.860434146694313e-12,4.025759977446829e-07,3.128020207715044e-05
2023-05-27,0.0710948137344983,8.590830810493458e-06,1.4608804077779615e-06,1.8875048502786263e-12,4.0236302578312195e-07,3.1319497596449284e-05
2023-05-28,0.07277301380466242,8.65747756968975e-06,1.524234025735661e-06,1.8532291492096153e-12,5.568308332902034e-07,3.323049860660987e-05
2023-05-29,0.07368077227948301,8.835901652520204e-06,1.5011886045162537e-06,1.8761437788459834e-12,5.326252333263883e-07,3.510380213141135e-05
2023-05-30,0.07326421146514253,8.738038561122513e-06,1.4379004311108605e-06,1.8608522062318113e-12,5.595197870480924e-07,3.339080831617097e-05
2023-05-31,0.07239235971644192,8.694234869392483e-06,1.2970334387299586e-06,1.8091141800578978e-12,6.587350184565764e-07,3.295280265691947e-05
2023-06-01,0.07176214354469079,8.5648193805796e-06,1.2648274718677892e-06,1.67058549421145e-12,5.044137352338088e-07,3.148055631694883e-05
2023-06-02,0.07156278248084644,8.482316828856285e-06,1.2459311146416527e-06,1.663390860676407e-12,4.735174967771366e-07,3.1467878379607814e-05
2023-06-03,0.07262212302856176,8.611729018061067e-06,1.28282309857131e-06,1.6855265748950515e-12,4.795725324688236e-07,3.22050139202314e-05
2023-06-04,0.07251421730148522,8.610380404148945e-06,1.2948508018569547e-06,1.6864662929797935e-12,4.3200035670429426e-07,3.171931657410802e-05
2023-06-05,0.07263276902542329,8.625522547315535e-06,1.2423712232728042e-06,1.6723435733729692e-12,4.529257001767963e-07,3.1469337494755e-05
2023-06-06,0.06680627654535688,8.024655449458728e-06,1.0423026664215976e-06,1.5552398047105541e-12,3.901319569325902e-07,2.7974680643152537e-05
2023-06-07,0.07041052599773123,8.189050024289284e-06,1.2011241784897232e-06,1.5820090740957625e-12,4.1167512416144907e-07,2.880728980136846e-05
2023-06-08,0.06741488323495227,7.898128540000604e-06,1.0752713631967462e-06,1.4582205427107826e-12,3.832339403455927e-07,2.6722269858522256e-05
